Телефон,email,Статус,Оценка,Сервис
79355523707,,"Не опрошен",,
79015558527,,"Не опрошен",,
79525554400,,"Не опрошен",,
79085554206,,"Не опрошен",,
79255589028,,"Не опрошен",,
79255509642,,"Не опрошен",,
79095557220,,"Не опрошен",,
79155567774,,"Не опрошен",,
79525553491,,"Не опрошен",,
79535558079,,"Не опрошен",,
79255527466,,"Не опрошен",,
79535555885,,"Не опрошен",,
79535555740,,"Не опрошен",,
79025558868,,"Не опрошен",,
79525554971,,"Не опрошен",,
79015553841,,"Не опрошен",,
79075554255,,"Не опрошен",,
79355559653,,"Не опрошен",,
79095557982,,"Не опрошен",,
79255559737,,"Не опрошен",,
79535550050,,"Не опрошен",,
79525553880,,"Не опрошен",,
79155511573,,"Не опрошен",,
79515551527,,"Не опрошен",,
79515553540,,"Не опрошен",,
79515552174,,"Не опрошен",,
79515555654,,"Не опрошен",,
79255545638,,"Не опрошен",,
79515554760,,"Не опрошен",,
79515551492,,"Не опрошен",,
79025557453,,"Не опрошен",,
79355522597,,"Не опрошен",,
79155534999,,"Не опрошен",,
79535557284,,"Не опрошен",,
79535551719,,"Не опрошен",,
79255562164,,"Не опрошен",,
79525550841,,"Не опрошен",,
79355528171,,"Не опрошен",,
79515552842,,"Не опрошен",,
79255503665,,"Не опрошен",,
79075550870,,"Не опрошен",,
79255556113,,"Не опрошен",,
79085556373,,"Не опрошен",,
79025552131,,"Не опрошен",,
79525550012,,"Не опрошен",,
79515559530,,"Не опрошен",,
79525550708,,"Не опрошен",,
79155563614,,"Не опрошен",,
79055555407,,"Не опрошен",,
79525552290,,"Не опрошен",,
79085559371,,"Не опрошен",,
79355518014,,"Не опрошен",,
79155564439,,"Не опрошен",,
79065553840,,"Не опрошен",,
79155504257,,"Не опрошен",,
79055550181,,"Не опрошен",,
79515557636,,"Не опрошен",,
79355541183,,"Не опрошен",,
79025555591,,"Не опрошен",,
79095556802,,"Не опрошен",,
79015550030,,"Не опрошен",,
79075555632,,"Не опрошен",,
79515559817,,"Не опрошен",,
79155524211,,"Не опрошен",,
79355508321,,"Не опрошен",,
79015558393,,"Не опрошен",,
79255503084,,"Не опрошен",,
79055556925,,"Не опрошен",,
79355549264,,"Не опрошен",,
79155575968,,"Не опрошен",,
79525554474,,"Не опрошен",,
79525558444,,"Не опрошен",,
79515552123,,"Не опрошен",,
79155542863,,"Не опрошен",,
79355547194,,"Не опрошен",,
79065558817,,"Не опрошен",,
79515551686,,"Не опрошен",,
79355574302,,"Не опрошен",,
